mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.5546125888824465,0.17845137823554813,0.009968137741088868,0.00036628489567076063,3,{'max_depth': 3},0.8842857142857142,0.8992857142857142,0.9071428571428571,0.9028571428571428,0.9078571428571428,0.9002857142857141,0.008578568454858538,10
12.359631872177124,0.3349523429387851,0.010370874404907226,0.0010883912183132648,5,{'max_depth': 5},0.9,0.8935714285714286,0.8978571428571429,0.9014285714285715,0.9028571428571428,0.8991428571428571,0.003238795442501314,12
20.929808378219604,1.2252424501643788,0.010431766510009766,0.00015613479192336992,8,{'max_depth': 8},0.8992857142857142,0.9014285714285715,0.9185714285714286,0.905,0.9171428571428571,0.9082857142857144,0.008038174226648693,8
24.373787784576415,0.18078973062205056,0.01078953742980957,0.00038972148021669474,9,{'max_depth': 9},0.9,0.9035714285714286,0.9271428571428572,0.9142857142857143,0.92,0.913,0.01008535005412731,3
26.61729440689087,0.16890594196901365,0.01039581298828125,0.00025638809020037394,10,{'max_depth': 10},0.9042857142857142,0.9071428571428571,0.9185714285714286,0.9128571428571428,0.9128571428571428,0.9111428571428573,0.004981598792617924,5
28.814792966842653,0.20348099964536953,0.010581493377685547,0.00021888570778273868,11,{'max_depth': 11},0.8971428571428571,0.9128571428571428,0.9228571428571428,0.9164285714285715,0.9178571428571428,0.9134285714285715,0.008752842104023077,2
30.06701307296753,1.9569987266797404,0.010547256469726563,0.0002465168141851867,12,{'max_depth': 12},0.9042857142857142,0.9085714285714286,0.9271428571428572,0.9121428571428571,0.9164285714285715,0.9137142857142857,0.007816779440173989,1
27.97426495552063,0.30348934482268697,0.010825252532958985,0.0008160603384936219,13,{'max_depth': 13},0.895,0.9107142857142857,0.9221428571428572,0.9164285714285715,0.9185714285714286,0.9125714285714285,0.009536182439016367,4
29.68349609375,0.3518772571745241,0.010063838958740235,0.0004195775588161077,14,{'max_depth': 14},0.8964285714285715,0.9114285714285715,0.9228571428571428,0.9128571428571428,0.9035714285714286,0.9094285714285715,0.008937424182638291,7
31.634527683258057,0.2685348262636619,0.010095834732055664,0.0005120041289900771,15,{'max_depth': 15},0.8957142857142857,0.9085714285714286,0.9221428571428572,0.9171428571428571,0.91,0.9107142857142858,0.008967059900842992,6
39.89087648391724,0.3939941562874932,0.009784317016601563,0.00022299643390052647,20,{'max_depth': 20},0.89,0.9014285714285715,0.9157142857142857,0.9092857142857143,0.9092857142857143,0.9051428571428571,0.008822512946653989,9
55.92339730262756,0.7869984037396403,0.010236072540283202,0.0005740337421544406,30,{'max_depth': 30},0.8785714285714286,0.8992857142857142,0.9064285714285715,0.9057142857142857,0.9078571428571428,0.8995714285714286,0.010904034078435076,11
62.86636848449707,0.9007586055256482,0.010620641708374023,0.000969715726916791,35,{'max_depth': 35},0.8757142857142857,0.8921428571428571,0.9064285714285715,0.9,0.9057142857142857,0.8960000000000001,0.011362307900084693,14
69.98900513648987,1.7350763983297102,0.010048389434814453,0.0002867152482676549,40,{'max_depth': 40},0.8785714285714286,0.8928571428571429,0.9064285714285715,0.9007142857142857,0.9028571428571428,0.8962857142857142,0.009911856433543803,13
82.52648801803589,4.660405929206851,0.00996384620666504,0.0001793879894706676,60,{'max_depth': 60},0.8742857142857143,0.8892857142857142,0.8907142857142857,0.8942857142857142,0.8971428571428571,0.8891428571428571,0.00792052358607375,15
82.7124035358429,4.605751011488122,0.01023554801940918,0.0006248076634986528,80,{'max_depth': 80},0.8742857142857143,0.8892857142857142,0.8907142857142857,0.8942857142857142,0.8971428571428571,0.8891428571428571,0.00792052358607375,15
82.65524878501893,4.410765047819141,0.011307907104492188,0.0013654493204852418,160,{'max_depth': 160},0.8742857142857143,0.8892857142857142,0.8907142857142857,0.8942857142857142,0.8971428571428571,0.8891428571428571,0.00792052358607375,15
81.9292290687561,4.143603717676465,0.009993743896484376,0.00024014730286608517,,{'max_depth': None},0.8742857142857143,0.8892857142857142,0.8907142857142857,0.8942857142857142,0.8971428571428571,0.8891428571428571,0.00792052358607375,15
