param_learning_rate_init,param_alpha,mean_test_score,std_test_score
0.0001,0.0001,0.9317857142857143,0.004322756584610773
0.0001,0.1,0.9273214285714285,0.006975723208794509
0.0001,0.01,0.9271428571428573,0.009063269671749658
0.0001,0.001,0.9244642857142857,0.006695833306875984
0.001,0.0001,0.9098214285714287,0.018754251218737333
0.001,0.01,0.8960714285714285,0.030297209745574705
0.001,0.1,0.895357142857143,0.026906868859767695
0.001,0.001,0.8930357142857144,0.036888725394414075
0.01,0.001,0.8739285714285714,0.022780283723663586
0.01,0.0001,0.86625,0.014869757693975775
0.01,0.1,0.8580357142857142,0.005445696672134634
0.01,0.01,0.835,0.042054993151581774
