mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1204.2503911972046,15.598122102086494,0.3172210693359375,0.10016243508034639,0.3,3,75,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 75}",0.9285714285714286,0.9089285714285714,0.9285714285714286,0.9196428571428571,0.9276785714285715,0.9226785714285715,0.007651530459153075,46
1613.1626876831056,15.74926886450514,0.4637746810913086,0.2140693890570346,0.3,3,100,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100}",0.925,0.9098214285714286,0.9330357142857143,0.9205357142857142,0.9276785714285715,0.9232142857142858,0.007824607964359532,39
2015.4966898441314,27.7134905227354,0.5701313495635987,0.22251913971811665,0.3,3,125,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 125}",0.9285714285714286,0.9107142857142857,0.9339285714285714,0.9241071428571429,0.9294642857142857,0.9253571428571428,0.007957957126841867,22
2414.1559689044952,22.801069016213173,0.5634120464324951,0.1002925261596206,0.3,3,150,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 150}",0.9330357142857143,0.9089285714285714,0.9375,0.9214285714285714,0.9330357142857143,0.9267857142857142,0.010397090448578325,11
1616.8199283599854,8.997580081540809,0.14394545555114746,0.011621577189884194,0.3,4,75,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 75}",0.9232142857142858,0.9214285714285714,0.9321428571428572,0.9303571428571429,0.9285714285714286,0.9271428571428573,0.004134227465282239,8
2146.60472278595,7.919149233644381,0.3336613655090332,0.10293618076047921,0.3,4,100,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 100}",0.9258928571428572,0.9205357142857142,0.9214285714285714,0.9285714285714286,0.9276785714285715,0.9248214285714285,0.0032635119433030877,29
2700.1763293266295,21.095876970278866,0.2513299465179443,0.12020582298556079,0.3,4,125,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 125}",0.9276785714285715,0.9205357142857142,0.9276785714285715,0.9205357142857142,0.9267857142857143,0.924642857142857,0.0033692789757345434,31
3225.128652524948,17.851768794238744,0.408107328414917,0.09165467987426765,0.3,4,150,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 150}",0.9321428571428572,0.9178571428571428,0.93125,0.9214285714285714,0.9303571428571429,0.926607142857143,0.005824823725107208,14
2036.456515598297,11.90003037919099,0.13751463890075682,0.01215725255701855,0.3,5,75,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 75}",0.9258928571428572,0.9142857142857143,0.9267857142857143,0.9241071428571429,0.9267857142857143,0.9235714285714286,0.004744760805566606,37
2694.4912992477416,9.086938236927638,0.3787846565246582,0.09250580622535841,0.3,5,100,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100}",0.9294642857142857,0.9044642857142857,0.9330357142857143,0.9205357142857142,0.9294642857142857,0.9233928571428571,0.010326308782000696,38
